theme_tag,large_sector,primary_archetype,canonical_archetype,posture,green_policy,mapped,mapped_via,matched_theme_tag,must_have_evidence,red_flag_evidence,theme_is_score_input,production_scoring_changed,source_round,mapping_note
카지노,모빌리티·운송·레저,CASINO_DUTYFREE_TOURISM,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,카지노,visitor_mix|drop_or_sales|opm_leverage,,false,false,round10,
면세점,모빌리티·운송·레저,CASINO_DUTYFREE_TOURISM,TRAVEL_LEISURE_REOPENING,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,면세점,visitor_mix|drop_or_sales|opm_leverage,,false,false,round10,
해운,모빌리티·운송·레저,SHIPPING_FREIGHT_CYCLE,SHIPPING_FREIGHT_CYCLE,REDTEAM_FIRST,red_watch,true,round16_exact_theme,해운,freight_rate|contract_vs_spot|vessel_supply,,false,false,round10,
택배·종합물류,모빌리티·운송·레저,ECOMMERCE_FRESH_LOGISTICS,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,마켓컬리,unit_economics|repeat_orders|logistics_margin,,false,false,round10,
렌터카·중고차,모빌리티·운송·레저,RENTAL_USED_CAR_MOBILITY,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,렌터카,fleet_margin|residual_value|demand_visibility,,false,false,round10,
자율주행,모빌리티·운송·레저,AUTO_MOBILITY_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,자율주행,customer_diversification|content_per_vehicle|opm_improvement,,false,false,round10,
현대·기아차 부품주,모빌리티·운송·레저,AUTO_MOBILITY_COMPONENTS,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,현대-기아차 부품주,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,false,false,round12,
타이어,모빌리티·운송·레저,TIRE_AUTO_COMPONENT_SPREAD,AUTO_MOBILITY_COMPONENTS,WATCH_YELLOW_FIRST,watch_to_green,true,round16_exact_theme,타이어,oe_re_mix|asp|raw_material_spread|customer_diversification,raw_material_inflation|factory_disruption|customer_concentration|auto_demand_slowdown,false,false,round12,
드론·플라잉카,모빌리티·운송·레저,URBAN_AIR_DRONE,DEFENSE_GOVERNMENT_BACKLOG,REDTEAM_FIRST,red_watch,true,round16_sub_archetype,드론,government_or_commercial_order|revenue_conversion|regulatory_approval,,false,false,round10,
대형 건설사,건설·부동산·건자재,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,red_watch,true,round16_exact_theme,대형 건설사,pf_exposure|cash_flow|credit_risk,,false,false,round10,
중소형 건설사,건설·부동산·건자재,CONSTRUCTION_REAL_ESTATE_CREDIT,CONSTRUCTION_REAL_ESTATE_CREDIT,REDTEAM_FIRST,red_watch,true,round16_exact_theme,중소형 건설사,pf_exposure|cash_flow|credit_risk,,false,false,round10,
부동산 자산 보유,건설·부동산·건자재,HOLDING_RESTRUCTURING_GOVERNANCE,VALUE_UP_SHAREHOLDER_RETURN,GREEN_POSSIBLE,watch_only,true,round16_exact_theme_fallback,부동산 자산 보유,roe|shareholder_return_execution|capital_strength,,false,false,round10,
리츠,건설·부동산·건자재,REIT_DEVELOPMENT_TRUST,VALUE_UP_SHAREHOLDER_RETURN,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,리츠,nav_discount|cash_yield|debt_cost,,false,false,round10,
건자재,건설·부동산·건자재,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,건자재,price_hike|volume|cost_spread|housing_cycle,,false,false,round10,
시멘트·레미콘·콘크리트,건설·부동산·건자재,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,건자재,price_hike|volume|cost_spread|housing_cycle,,false,false,round10,
철근,건설·부동산·건자재,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,철근,price_hike|volume|cost_spread|housing_cycle,,false,false,round10,
가구,건설·부동산·건자재,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,가구,price_hike|volume|cost_spread|housing_cycle,,false,false,round10,
거푸집,건설·부동산·건자재,BUILDING_MATERIALS_CYCLE,COMMODITY_SPREAD,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,거푸집,price_hike|volume|cost_spread|housing_cycle,,false,false,round10,
CMO·원료의약품,바이오·헬스케어·의료기기,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,green_allowed,true,round16_sub_archetype,CMO,long_term_contract|capacity_utilization|customer_diversification|fcf_conversion,,false,false,round10,
CRO,바이오·헬스케어·의료기기,CRO_CLINICAL_SERVICE,CDMO_HEALTHCARE_CONTRACT,WATCH_YELLOW_FIRST,watch_only,true,round17_supplemental,CRO,service_contract|clinical_volume|utilization|opm_fcf_conversion,project_delay|customer_concentration|trial_volume_without_margin,false,false,round17,CRO is kept as a healthcare service route; Green needs contract/utilization and cash-flow conversion.
바이오시밀러,바이오·헬스케어·의료기기,CDMO_HEALTHCARE_CONTRACT,CDMO_HEALTHCARE_CONTRACT,GREEN_POSSIBLE,watch_to_green,true,round16_exact_theme,바이오시밀러,long_term_contract|capacity_utilization|customer_diversification|fcf_conversion,,false,false,round10,
의료AI,바이오·헬스케어·의료기기,DIGITAL_HEALTHCARE_AI,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,의료 AI,reimbursement_or_contract|recurring_revenue|regulatory_clearance,,false,false,round10,
원격의료,바이오·헬스케어·의료기기,DIGITAL_HEALTHCARE_AI,PLATFORM_SOFTWARE_INTERNET,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,원격의료,reimbursement_or_contract|recurring_revenue|regulatory_clearance,,false,false,round10,
AI 신약개발,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_watch,true,round16_sub_archetype,치매치료,clinical_milestone|cash_runway|dilution_risk,,false,false,round10,
비만 치료제,바이오·헬스케어·의료기기,BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,비만 치료제,approval|partner_launch|royalty_or_revenue,,false,false,round10,
탈모치료,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_watch,true,round16_sub_archetype,치매치료,clinical_milestone|cash_runway|dilution_risk,,false,false,round10,
치매치료,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_watch,true,round16_exact_theme,치매치료,clinical_milestone|cash_runway|dilution_risk,,false,false,round10,
이중항체,바이오·헬스케어·의료기기,BIOTECH_ROYALTY_COMMERCIALIZATION,BIOTECH_ROYALTY_COMMERCIALIZATION,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,AI 신약개발,approval|partner_launch|royalty_or_revenue,,false,false,round10,
면역세포치료제,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_watch,true,round16_exact_theme,면역세포치료제,clinical_milestone|cash_runway|dilution_risk,,false,false,round10,
줄기세포치료제,바이오·헬스케어·의료기기,BIOTECH_PRE_REVENUE_REGULATORY,BIOTECH_PRE_REVENUE_REGULATORY,REDTEAM_FIRST,red_watch,true,round16_exact_theme,줄기세포치료제,clinical_milestone|cash_runway|dilution_risk,,false,false,round10,
보톡스,바이오·헬스케어·의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,GREEN_POSSIBLE,green_allowed,true,round16_sub_archetype,미용기기,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,,false,false,round10,
치아·임플란트,바이오·헬스케어·의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,GREEN_POSSIBLE,green_allowed,true,round16_sub_archetype,미용기기,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,,false,false,round10,
미용기기,바이오·헬스케어·의료기기,MEDICAL_DEVICE_HEALTHCARE_EXPORT,MEDICAL_DEVICE_HEALTHCARE_EXPORT,GREEN_POSSIBLE,green_allowed,true,round16_exact_theme,미용기기,export_growth|consumable_repeat_revenue|regulatory_approval|opm_roe_improvement,,false,false,round10,
전염병 진단,바이오·헬스케어·의료기기,DIAGNOSTICS_INFECTIOUS_DISEASE,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,red_watch,true,round16_exact_theme,전염병 진단,recurring_non_event_demand|revenue_after_event|margin_normalization,,false,false,round10,
엠폭스,정책·지정학·재난·이벤트,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,event_only,true,round16_exact_theme,엠폭스,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,false,false,round12,
코로나19 제약,정책·지정학·재난·이벤트,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,red_watch,true,round16_sub_archetype,엠폭스,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,false,false,round12,
빈대퇴치,정책·지정학·재난·이벤트,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,event_only,true,round16_exact_theme,빈대퇴치,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,false,false,round12,
황사마스크,정책·지정학·재난·이벤트,EVENT_DISEASE_PEST_DEMAND,ONE_OFF_EVENT_DEMAND,REDTEAM_FIRST,event_only,true,round16_exact_theme,황사마스크,recurring_non_event_demand|post_event_revenue|margin_normalization,one_off_demand|inventory_build|guidance_down|demand_cliff,false,false,round12,
양돈주,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,red_watch,true,round16_exact_theme,양돈주,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,false,false,round12,
육계주,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,red_watch,true,round16_exact_theme,육계주,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,false,false,round12,
배합사료,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,watch_only,true,round16_exact_theme,배합사료,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,false,false,round12,
대두,농업·생활서비스·기타,AGRI_LIVESTOCK_FOOD_COMMODITY,COMMODITY_SPREAD,REDTEAM_FIRST,event_watch,true,round16_exact_theme,대두,price_pass_through|feed_cost|inventory_status|op_eps_revision,disease_event_only|feed_cost_squeeze|commodity_reversal|weather_theme,false,false,round12,
스마트팜,농업·생활서비스·기타,SMART_FARM_AGRI_TECH,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,스마트팜,order_or_adoption|revenue_conversion|margin_visibility,,false,false,round10,
농기계,농업·생활서비스·기타,SMART_FARM_AGRI_TECH,ROBOTICS_FACTORY_AUTOMATION,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,농기계,order_or_adoption|revenue_conversion|margin_visibility,,false,false,round10,
교육,농업·생활서비스·기타,EDUCATION_SPECIALTY_SERVICES,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,watch_only,true,round16_exact_theme,교육,enrollment_or_user_growth|opm_leverage|policy_risk,,false,false,round10,
취업일자리,농업·생활서비스·기타,EDUCATION_SPECIALTY_SERVICES,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,event_watch,true,round16_exact_theme,취업일자리,enrollment_or_user_growth|opm_leverage|policy_risk,,false,false,round10,
키즈·유아용품,농업·생활서비스·기타,HOME_CHILD_EDUCATION,EDUCATION_SPECIALTY_SERVICES,WATCH_YELLOW_FIRST,watch_only,true,round16_sub_archetype,키즈,recurring_demand|channel_expansion|margin_visibility,,false,false,round10,
전자담배,농업·생활서비스·기타,CONSUMER_REGULATED_PRODUCT,RETAIL_DOMESTIC_CONSUMER,WATCH_YELLOW_FIRST,watch_only,true,round17_supplemental,전자담배,regulated_revenue|repeat_demand|margin_visibility|compliance_record,regulatory_change|tax_hike|youth_access_risk|one_product_event,false,false,round17,Regulated consumer products stay Watch until repeat demand and compliance economics are visible.
