theme_tag,large_sector,primary_archetype,canonical_archetype,secondary_archetypes,green_policy,posture,theme_is_score_input,stage1_query_terms,must_have_evidence,red_flag_evidence,score_weight_profile
탈 플라스틱,EDUCATION_LIFE_AGRI_MISC,WASTE_RECYCLING_ENVIRONMENT,UTILITIES_REGULATED_TARIFF,,Environmental services need regulated demand and utilization; commodity-linked recycling is capped.,WATCH_YELLOW_FIRST,false,규제 수요|처리량|가동률|마진,regulated_demand|processing_volume|utilization|margin_visibility,policy_delay|utilization_down|commodity_price_reversal|capex_burden,regulated_environment_utilization
광고,PLATFORM_CONTENT_SW_SECURITY,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,,"Media/content needs repeat monetization and OPM support, not single-launch hype.",WATCH_YELLOW_FIRST,false,광고 경기|IP 반복성|글로벌 매출|OPM,ad_recovery|ip_repeatability|global_revenue|opm_leverage,hit_driven_miss|single_ip_dependence|ad_cycle_down|contract_scandal,media_ad_ip_cycle
미디어 콘텐츠,PLATFORM_CONTENT_SW_SECURITY,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,,"Media/content needs repeat monetization and OPM support, not single-launch hype.",WATCH_YELLOW_FIRST,false,광고 경기|IP 반복성|글로벌 매출|OPM,ad_recovery|ip_repeatability|global_revenue|opm_leverage,hit_driven_miss|single_ip_dependence|ad_cycle_down|contract_scandal,media_ad_ip_cycle
방송·언론,PLATFORM_CONTENT_SW_SECURITY,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,,"Media/content needs repeat monetization and OPM support, not single-launch hype.",WATCH_YELLOW_FIRST,false,광고 경기|IP 반복성|글로벌 매출|OPM,ad_recovery|ip_repeatability|global_revenue|opm_leverage,hit_driven_miss|single_ip_dependence|ad_cycle_down|contract_scandal,media_ad_ip_cycle
음원서비스,PLATFORM_CONTENT_SW_SECURITY,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,,"Media/content needs repeat monetization and OPM support, not single-launch hype.",WATCH_YELLOW_FIRST,false,광고 경기|IP 반복성|글로벌 매출|OPM,ad_recovery|ip_repeatability|global_revenue|opm_leverage,hit_driven_miss|single_ip_dependence|ad_cycle_down|contract_scandal,media_ad_ip_cycle
엔터,PLATFORM_CONTENT_SW_SECURITY,MEDIA_AD_CONTENT_CYCLE,GAME_CONTENT_IP,,"Media/content needs repeat monetization and OPM support, not single-launch hype.",WATCH_YELLOW_FIRST,false,광고 경기|IP 반복성|글로벌 매출|OPM,ad_recovery|ip_repeatability|global_revenue|opm_leverage,hit_driven_miss|single_ip_dependence|ad_cycle_down|contract_scandal,media_ad_ip_cycle
클라우드 컴퓨팅,PLATFORM_CONTENT_SW_SECURITY,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,,Cloud/AI software needs monetization and margin leverage before high-conviction treatment.,WATCH_YELLOW_FIRST,false,유료 사용량|ARR|ARPU|OPM 레버리지,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|churn,cloud_ai_software_monetization
인공지능 AI,PLATFORM_CONTENT_SW_SECURITY,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,,Cloud/AI software needs monetization and margin leverage before high-conviction treatment.,WATCH_YELLOW_FIRST,false,유료 사용량|ARR|ARPU|OPM 레버리지,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|churn,cloud_ai_software_monetization
AI 소프트웨어,PLATFORM_CONTENT_SW_SECURITY,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,,Cloud/AI software needs monetization and margin leverage before high-conviction treatment.,WATCH_YELLOW_FIRST,false,유료 사용량|ARR|ARPU|OPM 레버리지,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|churn,cloud_ai_software_monetization
원격근무,PLATFORM_CONTENT_SW_SECURITY,CLOUD_AI_SOFTWARE_INFRA,PLATFORM_SOFTWARE_INTERNET,,Cloud/AI software needs monetization and margin leverage before high-conviction treatment.,WATCH_YELLOW_FIRST,false,유료 사용량|ARR|ARPU|OPM 레버리지,recurring_revenue|paid_usage|arpu|opm_leverage,mau_without_monetization|ai_cost_overrun|regulatory_risk|churn,cloud_ai_software_monetization
IT보안,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,,Security/identity tags need recurring contracts and revenue conversion.,WATCH_YELLOW_FIRST,false,보안 수요|반복 계약|규제 수요|OP/EPS 상향,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,security_identity_recurring_contract
딥페이크,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,,Security/identity tags need recurring contracts and revenue conversion.,WATCH_YELLOW_FIRST,false,보안 수요|반복 계약|규제 수요|OP/EPS 상향,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,security_identity_recurring_contract
생체인식,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,,Security/identity tags need recurring contracts and revenue conversion.,WATCH_YELLOW_FIRST,false,보안 수요|반복 계약|규제 수요|OP/EPS 상향,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,security_identity_recurring_contract
CCTV,PLATFORM_CONTENT_SW_SECURITY,SECURITY_IDENTITY_DEEPFAKE,PLATFORM_SOFTWARE_INTERNET,,Security/identity tags need recurring contracts and revenue conversion.,WATCH_YELLOW_FIRST,false,보안 수요|반복 계약|규제 수요|OP/EPS 상향,recurring_contract|security_demand|regulatory_demand|op_eps_revision,theme_only_security|budget_cut|churn|no_recurring_revenue,security_identity_recurring_contract
